id_poi;poi;ville;categorie;found;source;description
343;Gare de Motteville;Motteville;activity;True;DuckDuckGo;La gare de Motteville est une gare ferroviaire française de la ligne de Paris-Saint-Lazare au Havre, située sur le territoire de la commune de Motteville, dans le département de la Seine-Maritime en région Normandie.
349;Le Vallon;Montérolier;activity;True;DuckDuckGo;3 circuits de randonnée à vélo. D22 D915. 7 Le Vallon. Départ Montérolier - Parking du terrain de tennis. 28 Km - 2h20 - Difficulté.
362;Gare d'Yvetot;Yvetot;activity;True;DuckDuckGo;La gare d'Yvetot est une gare ferroviaire française de la ligne de Paris-Saint-Lazare au Havre, située sur le territoire de la commune d'Yvetot, dans le département de la Seine-Maritime, en région Normandie.
368;Gare de Montville;Montville;activity;True;DuckDuckGo;La gare de Montville est une gare ferroviaire française de la ligne de Malaunay - Le Houlme à Dieppe, située sur le territoire des communes d'Eslettes et de Montville, dans le département de la Seine-Maritime, en région Normandie.
397;"Gîte ""le Bâtiment""";Héricourt-en-Caux;accommodation;False;;
407;Centre de santé de Fontaine le Dun;Fontaine-le-Dun;shop;True;DuckDuckGo;Fontaine-le-Dun est un petit village du département de la Seine-Maritime dans la région de Normandie comptant 899 habitants appelés les fontainais.Centre commercial. Besoin de faire des courses, voici les centres commerciaux les plus proche de Fontaine-le-Dun.
424;Mme ROSSIGNOL Geneviève;Le Tréport;accommodation;False;;
462;Le Caillebourg 1;Saint-Martin-aux-Arbres;accommodation;True;DuckDuckGo;à SAINT-MARTIN-AUX-ARBRES. Le Caillebourg 1. À propos. Capacité.
466;Gîte de la Vallée;Hugleville-en-Caux;accommodation;False;;
485;Au pied des vagues;Le Tréport;accommodation;True;DuckDuckGo;Au pied des vagues is set in Le Tréport and offers free bikes and a casino. The accommodation is 40 km from Le Crotoy, and guests benefit from complimentary WiFi and private parking available on site. A children's playground is also available for guests at the apartment.
522;Maison de Santé pluridisciplinaire Les Carmes;Rouen;shop;False;;
565;Balade commentée de Serqueux;Serqueux;event;True;DuckDuckGo;Balade commentée de Serqueux Balade.Départ de la mairie de Serqueux à 14h. 5km - Equipement indispensable Randonnées proposées par l’ Office de tourisme 3€/personne, sur inscription Réservation au 02 35 90 52 10. Visite, balade.
602;Gite à la ferme;La Ferté-Saint-Samson;accommodation;True;DuckDuckGo;Offrant une vue sur le jardin, l'hébergement Gite à la ferme se situe à La Ferté-Saint-Samson, à respectivement 44 km et 44 km de ces lieux d'intérêt : Gare de Rouen-Rive-Droite et Cathédrale Notre-Dame de Rouen. Cette maison de vacances comprend un jardin, un barbecue, une connexion Wi-Fi gratuite et un parking privé gratuit.
613;Fête Patronale de Serqueux;Serqueux;event;True;DuckDuckGo;La fête patronale de Serqueux a lieu un week-end de la mi-août[46].↑ Archives départementales de Seine-Maritime : État civil de Serqueux de 1793 à 1915, et sur le site de la mairie de Serqueux pour les années suivantes.
643;Maison des Dalles;Sassetot-le-Mauconduit;accommodation;False;;
666;Les Clos Masures à VTT;Hattenville;activity;True;DuckDuckGo;à HATTENVILLE. Les Clos Masures à VTT. Distance9,2 km. À télécharger.
708;Les clos masures;Lillebonne;activity;True;DuckDuckGo;Les clos masures. Boucle de randonnée pédestre sur la commune de Lillebonne dans le département de la Seine Maritime.
713;Vide grenier;Gournay-en-Bray;event;False;;
720;Normand' Street Festival;Gournay-en-Bray;event;False;;
868;La Vallée de la Ganzeville;Ganzeville;activity;True;DuckDuckGo;Découvrez le patrimoine à proximité du sentier de randonnée La vallée de la Ganzeville à Bec-de-Mortagne (76).Elle correspond au littoral du Pays de Caux et constitue la quasi-totalité du littoral de la Seine-Maritime.
884;Fête Communale;Haussez;event;True;DuckDuckGo;Manifestation , Brocante, Fête communale , patronale, Marché, Vide greniers Braderie, Artisanat, Autre, Nocturne, Terroir - Venez profiter de la fête du village avec une fête foraine tout le week-end, samedi : Triathlon, marché semi-nocturne
890;La Route de Pompon;Cuy-Saint-Fiacre;activity;True;DuckDuckGo;La Route de Pompon. Randonnée à Cuy-Saint-Fiacre. Télécharger.
929;Le Grand Eawy;Saint-Saëns;activity;False;;
947;Le Rougemont à VTT;Beuzeville-la-Guérard;activity;True;DuckDuckGo;Randonnée Caux Vallée de Seine Caudebec-en-Caux VTT (10). Le Rougemont à VTT.VTT. Moyen. DépartBeuzeville-la-Guérard. Profil de l'itinéraireBoucle. Distance13.8 km.
979;Maison de Santé pluridisciplinaire Les Jardins Le Havre Bléville;Le Havre;shop;True;DuckDuckGo;Bienvenue sur le site officiel de la MSP Les Jardins, située : 2 rue Théophile Gautier, 76620 LE HAVRE.
1002;Concert : Maddy Blues;Eu;event;False;;
1037;Valentine Léger · Guide conférencière;Dieppe;culture;False;;
1132;Parcours du Saint-Mellon;Héricourt-en-Caux;activity;True;DuckDuckGo;Parcours Saint -Mellon ©Delvalle_C. Un parcours pédagogique pour bien comprendre l’importance des zones humides et le rôle élémentaire de la Durdent !Difficulté : Très facile Distance : 0,3 km Départ : HERICOURT-EN-CAUX, Rue Saint-Mellon Arrivée : HERICOURT-EN-CAUX.
1179;La Route de Lyons;Neuf-Marché;activity;False;;
1212;Gare d'Aumale;Aumale;activity;False;;
1281;Parcs et jardins du Havre;Le Havre;nature;True;DuckDuckGo;... Le Havre est l'axe de transport majeur du département, construit autour de la Seine navigable et parcouru par les autoroutes A13 et A131 et par la ...
1314;Gare de Etainhus;Étainhus;activity;False;;
1335;Loto;Serqueux;event;False;;
1344;Maison au Calme;Longueil;accommodation;True;DuckDuckGo;Comme présenté sur. Maison au Calme, location de vacances à Longueil.Gite le cottage martin église renovated house in normandy setting, location de vacances à Longueil.
1375;Le Bois de la Brétèque à VTT;Écalles-Alix;activity;False;;
1406;Chèvrerie de la forêt d'Eu;Monchy-sur-Eu;activity;True;DuckDuckGo;Annuaire des partenaires. La chèvrerie de la forêt d'EU.Elevage de chèvres alpines situé à Monchy sur Eu (76260), en Normandie, à proximité du Tréport. Nous fabriquons de façon artisanale fromage de chèvre au lait cru, yaourts mais encore faisselles.
1409;Gare de Saint-Etienne-du-Rouvray;Saint-Étienne-du-Rouvray;activity;False;;
1561;Concert Ensemble Vivaldi;Gournay-en-Bray;event;True;DuckDuckGo;Concert Ensemble Vivaldi.Concerts et festivals à proximité de Gournay-en-Bray. Festival de musique baroque des Andelys.
1562;Fête de la Saint-Clair;Gournay-en-Bray;event;False;;
1585;Eglise Saint-Sauveur de Sahurs;Sahurs;culture;True;DuckDuckGo;Église Saint-Sauveur (Sahurs), sur Wikimedia Commons.Église dédiée au saint Sauveur. Église monument historique dans la Seine-Maritime.
1588;Gare de Montérolier-Buchy;Montérolier;activity;True;DuckDuckGo;La gare de Montérolier - Buchy, sur le site officiel de SNCF Gares & Connexions.La station de Montérolier - Buchy est mise en service le 18 avril 1867 par la Compagnie des chemins de fer du Nord, lors de l'ouverture de l'exploitation voyageurs de la ligne d'Amiens à Rouen.
1600;MEUBLE HARFLEUR;Harfleur;accommodation;True;DuckDuckGo;Harfleur : Découvrez les meilleurs établissements. Harfleur : Une sélection des meilleurs hôtels et hébergements. Carte. Équipements populaires.
1609;Loto;Serqueux;event;False;;
1627;Chevauchée en Pays d'Auge;Vatteville-la-Rue;activity;False;;
1650;Randonnée à Serqueux;Serqueux;event;True;DuckDuckGo;La Gare de Serqueux est un nœud ferroviaire à l'intersection des lignes Amiens—Rouen et Paris-Saint-Lazare—Dieppe. À la suite de la fermeture en 1988 de la ligne ferroviaire Serqueux-Dieppe, le parcours est emprunté par l'avenue verte, itinéraire cyclable qui relie Paris à Londres.
1696;La Plaine du Moulin à VTT;Le Mesnil-Durdent;activity;False;;
1721;Sur la Rive du Dun;Le Bourg-Dun;activity;False;;
1743;Gare de Dieppe;Dieppe;activity;True;DuckDuckGo;La gare de Dieppe est une gare ferroviaire française terminus de la ligne de Malaunay - Le Houlme à Dieppe, située sur le territoire de la commune de Dieppe, dans le département de la Seine-Maritime en région Normandie.
1771;La Clairière;Saint-Léonard;accommodation;False;;
1774;Maison de Santé pluridisciplinaire du Bois au Coq;Le Havre;shop;False;;
1776;Beauville La Cité;Crasville-la-Rocquefort;activity;True;DuckDuckGo;My Tourisme Circuits Beauville La Cité – Crasville-la-Rocquefort.Circuit, Circuit pédestre, Crasville-la-Rocquefort. Type: En boucle. Distance: 12300.0. Durée: 180mn.
1807;Circuit des Huchiers;Argueil;activity;True;DuckDuckGo;Circuit des Huchiers + de photos. ©sma – V.debels 2023.
1816;Maison de Santé pluridisciplinaire Graville Soquence;Le Havre;shop;True;DuckDuckGo;Le quartier de Graville ou Graville-Sainte-Honorine se trouve à l'est de la ville du Havre en Seine-Maritime.Graville-Soquence. icône décorative Portail de l’architecture et de l’urbanisme.
1863;Maison de Santé pluridisciplinaire Seine et Soins;Rouen;shop;True;DuckDuckGo;En effet, pour créer une maison de santé pluridisciplinaire, l’ARS pourra vous accorder une aide au démarrage et une aide à la rédaction du projet de santé. Bon à savoir : il est possible de bénéficier d’aides juridiques locales.
1977;Mme BOISSY Audrey;Le Tréport;accommodation;False;;
1988;La Route de la Pomme;Elbeuf-en-Bray;activity;True;DuckDuckGo;Randonnée en Seine-Maritime. La Route de la Pomme.DépartElbeuf-en-Bray. Profil de l’itinéraireBoucle. Distance30.0 km.
2021;Valleuse de Bénouville;Bénouville;nature;True;DuckDuckGo;Bénouville (Seine-Maritime) Les falaises autour de la valleuse du Curé.La valleuse du Curé comportait un escalier de 283 marches conduisant à la plage, creusé dans la falaise.
2048;Le Marquet;Saint-Martin-au-Bosc;activity;True;DuckDuckGo;SAINT-MARTIN-AU-BOSC - LE MARQUET Mémoriser ce circuit. Départ randonnée : Salle des fêtes Evelyne Couet. Le circuit passe par la source « Le Marquet » au point le plus bas du circuit. Circuit proposé par l’OT d’Aumale et Blangy-sur-Bresle.
2050;Gare de Saint-Laurent-de-Brèvedent;Saint-Laurent-de-Brèvedent;activity;True;DuckDuckGo;Idées de circuits de randonnée Saint-Laurent-de-Brèvedent gratuites avec carte IGN au 1:25000, descriptif précis et photos.
2103;Concert Les Andrews;Saint-Saire;event;False;;
2111;MEUBLE BRINDEAU;Le Havre;accommodation;False;;
2142;Marché de Quincampoix;Quincampoix;event;True;DuckDuckGo;Marché de Quincampoix Marché artisanal. 2 Jui. 4 Nov.L’Association Voir Autrement, avec le concours de la Mairie de Quincampoix, organise l’exposition photos en extérieur, 'Fenêtre sur…'. Celle-ci prend place dans les jardins de la Mairie et sera visible tout au long de l’été.
2175;Cabaret La Sirène à Barbe;Dieppe;food;True;DuckDuckGo;Cabaret La Sirène à Barbe. Seine Maritime Attractivité. * Vous pourrez à tout moment vous désinscrire de nos listes de diffusion.Cabaret La Sirène à Barbe. Esplanade Rosa Leroy, 76200 Dieppe.
2187;Maison de Santé pluridisciplinaire Résidence de France;Le Havre;shop;False;;
2203;Gare de Epouville;Épouville;activity;False;;
2243;Loto;Serqueux;event;False;;
2272;M. LEONNE Robenson;Le Tréport;accommodation;False;;
2281;Bassins portuaires;Le Havre;nature;False;;
2319;Le Bois des Puits;Criquiers;activity;True;DuckDuckGo;CRIQUIERS - LE BOIS DES PUITS (VERSION COURTE)-seine-maritime. Départ randonnée : Place Pierre Boulet, rue principale, devant l'école. Le Circuit vous conduit au hameau de « Le Bois des Puits » sur des chemins et routes de campagne.
2321;Foire à tout;Compainville;event;True;DuckDuckGo;Découvrez les foires à tout en Seine Maritime (76) : Le calendrier des dates, lieux et bons plans pour chiner en 2026.
2367;Gare de Pavilly;Pavilly;activity;True;DuckDuckGo;Route de Pavilly, Fresquiennes, Arrondissement de Rouen, Département Seine-Maritime, Normandie — get directions and search for organizations nearby.
2423;Concert Mr Teuf & marché nocturne;Saint-Saire;event;True;DuckDuckGo;Saint-Saire Spectacle. Concert Mr Teuf & marché nocturne. 04 juillet.Saint-Saire Concert. Apéro music : Jozef. 18 juillet.
2468;Dégustation vin et soirée Karaoké;Saint-Saire;event;True;DuckDuckGo;Dégustation vin et soirée Karaoké. 71 bis chemin de Prébende.Agenda à Saint-Saire. Concerts, spectacles, expositions, théâtre, brocantes, vide-greniers, visites, tourisme.
2474;Aya;Rouen;accommodation;True;DuckDuckGo;Gite Rouen Bouvreuil. Accueil. Nos gîtes sur Rouen.Gite Aya à Rouen dans le centre historique - 2 personnes. 1er étage sur rue peu passante – 20 m2 habitables Equipements : cuisine équipée, Wifi. A 3 minute de la gare et des musées et 5 minutes du centre-ville.
2494;Beauville La Cité à VTT;Crasville-la-Rocquefort;activity;True;DuckDuckGo;My Tourisme Circuits Beauville La Cité – Crasville-la-Rocquefort.Circuit, Circuit pédestre, Crasville-la-Rocquefort. Type: En boucle. Distance: 12300.0. Durée: 180mn.
2500;Randonnée à Serqueux;Serqueux;event;True;DuckDuckGo;La Gare de Serqueux est un nœud ferroviaire à l'intersection des lignes Amiens—Rouen et Paris-Saint-Lazare—Dieppe. À la suite de la fermeture en 1988 de la ligne ferroviaire Serqueux-Dieppe, le parcours est emprunté par l'avenue verte, itinéraire cyclable qui relie Paris à Londres.
2513;Les deux Vallées;Rouen;activity;False;;
2539;Gare de Ferrières-en-Bray;Ferrières-en-Bray;activity;False;;
2555;La Voile;Quiberville;accommodation;False;;
2565;Gare de Harfleur;Harfleur;activity;True;DuckDuckGo;Harfleur compte une gare desservie par le réseau TER Normandie : la gare d'Harfleur, située sur la ligne de Paris-Saint-Lazare au Havre et desservie par les trains assurant la liaison entre Le Havre et Rouen-Rive-Droite. Elle se situe au nord du centre-ville, en retrait de la rue Paul Doumer.
2584;M. DUARTE Jorge - SCI DUARTE;Longroy;accommodation;False;;
2585;Le Coupe Gorge à VTT;Ermenouville;activity;False;;
2624;Les Démagnes;Saint-Nicolas-d'Aliermont;activity;True;DuckDuckGo;Les Démagnes. Randonnée. 76510 Saint-Nicolas-d'Aliermont.DépartSaint-Nicolas-d'Aliermont. Profil de l’itinéraireBoucle. Distance8.3 km.
2634;Résidence du bord de mer N°11;Le Tréport;accommodation;False;;
2642;Randonnée;Serqueux;event;True;DuckDuckGo;Idées de circuits de randonnée Serqueux (Seine-Maritime) gratuites avec carte IGN au 1:25000, descriptif précis et photos.
2681;Rassemblement de camping-car;Saint-Saire;event;False;;
2728;Soirée Karaoké;Saint-Saire;event;False;;
2805;Ferme du Mont au Bec;Haussez;culture;False;;
2857;Gare de Rouen - Rive droite;Rouen;activity;False;;
2858;Caravane du Sport;Gournay-en-Bray;event;True;DuckDuckGo;Caravane du Sport Le mardi 25 août Avenue des Aulnaies 76220 GOURNAY-EN-BRAY Ajouter à mon Google Agenda
2887;Appartement Roméo;Le Tréport;accommodation;False;;
2906;Les Souterrains de l'Abbaye de Jumièges;Jumièges;nature;True;DuckDuckGo;L'abbaye de Jumièges redevient propriété de l'État en 1947, puis propriété du département de Seine-Maritime en 2007 dans le cadre de la loi de décentralisation du 13 août 2004, qui permet de transférer certains monuments historiques aux collectivités territoriales.
2952;Maison de Santé pluridisciplinaire Des Sources;Héricourt-en-Caux;shop;False;;
2971;Gare de Rolleville;Rolleville;activity;True;DuckDuckGo;La gare de Rolleville est une ancienne gare ferroviaire française de la ligne du Havre-Graville à Tourville-les-Ifs, située sur le territoire de la commune de Rolleville, dans le département de la Seine-Maritime, en région Normandie.
2992;Festival asiatique;Gournay-en-Bray;event;False;;
3010;Gare de Fécamp;Fécamp;activity;True;DuckDuckGo;Idées de circuits de randonnée Gare de Fécamp gratuites avec carte IGN au 1:25000, descriptif précis et photos. Sortie du club BVA. départ du parking de la Mature. beaucoup de plaine et un peu de route sur le GR, mais circuit assez exigeant à cause des nombreuses montées et belles descentes. Fécamp : découvrez les meilleures randonnées : 39 pédestres et 15 à vélo ou VTT. Tous ces circuits, parcours, itinéraires et activités en plein air sont disponibles dans nos applications SityTrail pour smartphones et tablettes. Quelles sont les randonnées proposées par l'Agglomération de Fécamp ? L’Agglomération a inscrit 19 randonnées au Plan Départemental des Espaces, Sites et Itinéraires (PDESI). Venez découvrir les randonnées à Fécamp et ses alentours, 19 circuits balisés et le GR® 21, élu GR préféré des Français en 2020 ! Quelle est la durée pour faire le circuit Fécamp-Etretat à pied? Ainsi, vous pouvez relier à pied par exemple Fécamp-Etretat (18,7 km – 6h aller) ou Fécamp-Les petites Dalles (18,6 km – 6h aller), ou choisir des portions plus courtes. Consultez la plaquette « Circuits GR® 21 ». Quel programme de Randonnées propose l'agglomération Fécamp Caux Littoral ? L’Agglomération Fécamp Caux Littoral propose chaque année, de mai à octobre, un programme de randonnées thématiques, guidées et gratuites sur inscription. Des randonnées guidées pour partager ! Dans le cadre du développement touristique et de l’animation du territoire, Combien de temps faut-il pour relier à pied à Fécamp ? Ainsi, vous pouvez relier à pied à Fécamp depuis différents points, comme Fécamp-Etretat (18,7 km – 6h aller) ou Fécamp-Les petites Dalles (18,6 km – 6h aller). Vous pouvez également choisir des portions plus courtes. Consultez la plaquette « Circuits GR® 21 ». Dans le cadre du développement touristique et de l’animation du territoire, l’Agglomération Fécamp Caux Littoral propose chaque année, d’avril / mai à octobre/novembre, un programme de randonnées thématiques, guidées et gratuites sur inscription.
3021;Tournoi de Pétanque;La Feuillie;event;True;DuckDuckGo;Tournoi de Pétanque. La Feuillie 76220.La Feuillie Classic est un festival de musique de chambre qui propose les plus grands chefs d’œuvre de la musique classique instrumentale. Du 03 Juillet 2026 au 05 Juillet 2026. Fête Saint-Eustache.
3030;"Le Camp ""Lucky Strike""";Saint-Valery-en-Caux;activity;False;;
3068;Le Cocon d'Eywa;Beauvoir-en-Lyons;accommodation;True;DuckDuckGo;Bienvenue au Cocon d’Eywa, un dôme géodésique niché face à la forêt de Lyons, à Beauvoir-en-Lyons. Pensé comme un lieu de ressourcement, le dôme invite à ralentir, respirer et se reconnecter à l’essentiel.
3260;Le Rail;Bosc-Bérenger;activity;True;DuckDuckGo;Le Rail. Bosc-Bérenger - Parking de la mairie 35 km - 3h00 environ - Difficulté : Cet itinéraire au départ de Bosc-Bérenger est idéal pour découvrir les richesses et trésors des communes de Saint-Martin-Osmonville, Montérolier, Rocquemont et Critot.
3265;Maison de Santé pluridisciplinaire EC2S;Elbeuf;shop;True;DuckDuckGo;Maison de santé pluridisciplinaire du Colombier – Aqua Santé. Ajouter cette page au carnet de voyage ?SAINT-AUBIN-LES-ELBEUF. Zone sous-dense : Zone Géographique. Accueil stagiaires : 1.
3281;Blockhaus de Sainte-Marguerite-sur-Mer;Sainte-Marguerite-sur-Mer;culture;False;;
3287;Gare de Maromme;Notre-Dame-de-Bondeville;activity;True;DuckDuckGo;Les itinéraires de jogging de Maromme offrent un accès à des paysages naturels, principalement la Forêt domaniale de Roumare. Cette région, située près de Rouen en Normandie, présente des sentiers variés de différentes longueurs et dénivelés.
3338;Open d'Echecs;Gournay-en-Bray;event;False;;
3339;Vide grenier;Gaillefontaine;event;False;;
3346;Loto;La Feuillie;event;False;;
3372;Randonnée à Serqueux;Serqueux;event;True;DuckDuckGo;La Gare de Serqueux est un nœud ferroviaire à l'intersection des lignes Amiens—Rouen et Paris-Saint-Lazare—Dieppe. À la suite de la fermeture en 1988 de la ligne ferroviaire Serqueux-Dieppe, le parcours est emprunté par l'avenue verte, itinéraire cyclable qui relie Paris à Londres.
3441;Forum des Associations;Ferrières-en-Bray;event;False;;
3463;Résidence du bord de mer n°12;Le Tréport;accommodation;True;DuckDuckGo;Vérifier la disponibilité. residence du bord de mer 9 appartements avec une vraie vue mer.Haute-Normandie. Seine-Maritime. Le Tréport. Les prix sont fournis par nos partenaires pour une seule chambre avec des conditions d'occupation variables fournies par l'hôtel.
3488;Tournoi de Football;Gournay-en-Bray;event;True;DuckDuckGo;Tournoi de Football. Gournay-en-bray 76220 (0 km).À l'occasion de la fête mondiale du jeu participez au tournoi ODIN, As d'or du jeu de l'année en 2025. Le 07 Mai 2026.
3495;Maison de Santé pluridisciplinaire St Valéry en Caux;Saint-Germain-sur-Eaulne;shop;True;DuckDuckGo;Location of Saint-Valery-en-Caux.'Saint-Valery in Caux') is a commune in the Seine-Maritime department in the Normandy region in northern France. The addition of an acute accent on the 'e' (Valéry) is incorrect.
3506;Maison de Santé pluridisciplinaire Varengeville;Villers-Écalles;shop;False;;
3507;Gare de Clères;Clères;activity;True;DuckDuckGo;La gare de Clères est une gare ferroviaire française de la ligne de Malaunay - Le Houlme à Dieppe, située sur le territoire de la commune de Clères, dans le département de la Seine-Maritime, en Normandie. Elle permet notamment la desserte du Parc zoologique de Clères.
3536;Boulangerie Marc et Karine Levasseur;Saint-Laurent-en-Caux;shop;True;DuckDuckGo;Levasseur Marc Et Karine. 52 Place Jacques Loutrel 76560 Saint-laurent-en-caux. M. Breuque Jimmy Didier. 10 Route de Bacqueville 76730 Brachy.
3545;Randonnée à Serqueux;Serqueux;event;True;DuckDuckGo;La Gare de Serqueux est un nœud ferroviaire à l'intersection des lignes Amiens—Rouen et Paris-Saint-Lazare—Dieppe. À la suite de la fermeture en 1988 de la ligne ferroviaire Serqueux-Dieppe, le parcours est emprunté par l'avenue verte, itinéraire cyclable qui relie Paris à Londres.
3555;La Chappelle Saint-Maurice;Gaillefontaine;activity;True;DuckDuckGo;Le circuit de la Chapelle Saint-Maurice est proposé par la CC des Quatre Rivières, il est balisé de vert. Ce circuit est référencé par seine-maritime-tourisme.com comme un circuit de VTT alors qu’il est tout à fait impossible de suivre le chemin de l’Impasse du Bois Hulin en VTT.
3703;Édruchon;Vieux-Rouen-sur-Bresle;activity;False;;
3711;Sur la Rive du Dun à VTT;Le Bourg-Dun;activity;True;DuckDuckGo;Sur la Rive du Dun à VTT. Boucle VTT et promenade en vélo sur la commune de Le Bourg Dun dans le département de la Seine Maritime.
3718;Maison de Santé pluridisciplinaire de Freneuse;Freneuse;shop;True;DuckDuckGo;Localisation de Freneuse dans les Yvelines. Freneuse est située à 8 km au nord-ouest de Mantes-la-Jolie, à 47 km de Versailles et à 58 km de Paris[1].
3728;Ferme de La Rivière Bourdet;Quevillon;accommodation;True;DuckDuckGo;- Gîtes et meublés - Gîtes de la Rivière Bourdet – Fermé temporairemet.Situés près de Rouen en Seine et Maritime, les 2 gîtes de la Rivière Bourdet sont aménagés dans une longère de 240 m². Séparés par un garage, ils sont indépendants.
3792;Fête Saint-Eustache;La Feuillie;event;False;;
3813;Mauquenchy-Roncherolles en Bray;Mauquenchy;activity;True;DuckDuckGo;Les meilleures randonnées VTT autour de Roncherolles-en-Bray. Découvrez les 5 plus belles routes et pistes VTT, avec des conseils d'autres vététistes.
3923;Foire à tout;Serqueux;event;True;DuckDuckGo;Foire à tout Seine-Maritime (76). Trier par distance. Les Normands vous le confirmeront, une foire à tout en Seine-Maritime, c'est le rendez-vous à ne pas manquer !
3939;Restaurant Art Sport Café;Le Havre;food;True;DuckDuckGo;Art Sport Café. Enregistrer. Avis. Voir toutes les activités. Art Sport Café.Nous sommes allés déjeuner à l'Art'Sport Café à la faveur d'un coffret Wonderbox. Accueil sympathique.La prestation prévue avec le chèque cadeau a été respectée.
3952;Marché de Bosc-le-Hard;Bosc-le-Hard;event;True;DuckDuckGo;Bosc-le-Hard et les Enfants Maupassant organisent le Marché de Noël ce dimanche 16 novembre. Venez faire votre photo avec le Père Noël et profiter des activités sur place.
4002;Maison de santé de la Bretèque - Bois Guillaume;Bois-Guillaume;shop;True;DuckDuckGo;Maison de la Santé 421 Chemin de la Bretèque, 76230 Bois-Guillaume. Informations pratiques. Rez-de-chaussée. Entrée accessible. Parking gratuit. Présentation de l'établissement.
4005;Gare du Havre;Le Havre;activity;False;;
4010;Maison de Santé pluridisciplinaire Les Hauts de Rouen;Rouen;shop;True;DuckDuckGo;Situé au Nord de Rouen, les Hauts de Rouen sont à proximité de la rocade Nord, avec un accès direct aux autoroutes A16, A28 et A13. Le quartier bénéficie d’un accès aux transports en commun à haut niveau de service ligne T2 et à la gare de Rouen.
4045;Gare de Eu;Eu;activity;True;DuckDuckGo;Gare de bifurcation, elle est également située au PK 209,833[2] de la ligne d'Abbeville à Eu (dont le trafic est suspendu), après la gare de Woincourt, et au PK 41,396[2] de la ligne de Rouxmesnil à Eu (partiellement déclassée , la gare précédente était celle de Saint-Rémy-Boscrocourt).
4135;BEAUJEAN Dominique et Chantal;Le Tréport;accommodation;False;;
4172;Domaine de la Renardière - Le Pavillon;Arelaune-en-Seine;accommodation;True;DuckDuckGo;Domaine de la Renardière. Location name. Listing type. Chambres d'hôtes Gîtes et Locations de vacances Hôtels.Appartement de luxe pour une famille avec des animaux de compagnie chambre d'hôte Domaine de la Renardière.
4230;Maison de Santé pluridisciplinaire LE HAVRE - LS PEPINIERES;Le Havre;shop;True;DuckDuckGo;La Maison de santé pluridisciplinaire Flaubert – TANDEM MEDICAL est composée de 7 professionnels, au Havre 'la Métropole Maritime Normande'.
4283;Gare de Sommery;Sommery;activity;True;DuckDuckGo;La gare de Sommery est une gare ferroviaire française de la ligne de Saint-Roch à Darnétal-Bifurcation, située sur le territoire de la commune de Sommery dans le département de la Seine-Maritime, en région Normandie.
